GFLOPs,Utilization (%),Cycles,Energy (uJ),EDP (J*cycle),Area (mm^2),Computes,fJ/Compute,layer
13.5,5.83,28,0.01,1.79e-07,0.0,196,"{'mac': 262.78, 'psum_spad': 2493.92, 'weights_spad': 4860.7, 'ifmap_spad': 968.77, 'shared_glb': 474.88, 'DRAM': 23510.2, 'Total': 32571.26}",ConvNeXt_43
13.5,5.83,28,0.01,1.79e-07,0.0,196,"{'mac': 262.78, 'psum_spad': 2493.92, 'weights_spad': 4860.7, 'ifmap_spad': 968.77, 'shared_glb': 474.88, 'DRAM': 23510.2, 'Total': 32571.26}",ConvNeXt_44
112.0,46.67,44957696,19490.51,876000.0,0.0,2517630976,"{'mac': 262.78, 'psum_spad': 3517.29, 'weights_spad': 2661.59, 'ifmap_spad': 938.51, 'shared_glb': 114.57, 'DRAM': 246.86, 'Total': 7741.61}",ConvNeXt_45
13.5,5.83,28,0.01,1.79e-07,0.0,196,"{'mac': 262.78, 'psum_spad': 2493.92, 'weights_spad': 4860.7, 'ifmap_spad': 968.77, 'shared_glb': 474.88, 'DRAM': 23510.2, 'Total': 32571.26}",ConvNeXt_46
13.5,5.83,28,0.01,1.79e-07,0.0,196,"{'mac': 262.78, 'psum_spad': 2493.92, 'weights_spad': 4860.7, 'ifmap_spad': 968.77, 'shared_glb': 474.88, 'DRAM': 23510.2, 'Total': 32571.26}",ConvNeXt_47
112.0,46.67,44957696,19490.51,876000.0,0.0,2517630976,"{'mac': 262.78, 'psum_spad': 3517.29, 'weights_spad': 2661.59, 'ifmap_spad': 938.51, 'shared_glb': 114.57, 'DRAM': 246.86, 'Total': 7741.61}",ConvNeXt_48
13.5,5.83,28,0.01,1.79e-07,0.0,196,"{'mac': 262.78, 'psum_spad': 2493.92, 'weights_spad': 4860.7, 'ifmap_spad': 968.77, 'shared_glb': 474.88, 'DRAM': 23510.2, 'Total': 32571.26}",ConvNeXt_49
13.5,5.83,28,0.01,1.79e-07,0.0,196,"{'mac': 262.78, 'psum_spad': 2493.92, 'weights_spad': 4860.7, 'ifmap_spad': 968.77, 'shared_glb': 474.88, 'DRAM': 23510.2, 'Total': 32571.26}",ConvNeXt_50
112.0,46.67,44957696,19490.51,876000.0,0.0,2517630976,"{'mac': 262.78, 'psum_spad': 3517.29, 'weights_spad': 2661.59, 'ifmap_spad': 938.51, 'shared_glb': 114.57, 'DRAM': 246.86, 'Total': 7741.61}",ConvNeXt_51
13.5,5.83,28,0.01,1.79e-07,0.0,196,"{'mac': 262.78, 'psum_spad': 2493.92, 'weights_spad': 4860.7, 'ifmap_spad': 968.77, 'shared_glb': 474.88, 'DRAM': 23510.2, 'Total': 32571.26}",ConvNeXt_52
13.5,5.83,28,0.01,1.79e-07,0.0,196,"{'mac': 262.78, 'psum_spad': 2493.92, 'weights_spad': 4860.7, 'ifmap_spad': 968.77, 'shared_glb': 474.88, 'DRAM': 23510.2, 'Total': 32571.26}",ConvNeXt_53
112.0,46.67,44957696,19490.51,876000.0,0.0,2517630976,"{'mac': 262.78, 'psum_spad': 3517.29, 'weights_spad': 2661.59, 'ifmap_spad': 938.51, 'shared_glb': 114.57, 'DRAM': 246.86, 'Total': 7741.61}",ConvNeXt_54
13.5,5.83,28,0.01,1.79e-07,0.0,196,"{'mac': 262.78, 'psum_spad': 2493.92, 'weights_spad': 4860.7, 'ifmap_spad': 968.77, 'shared_glb': 474.88, 'DRAM': 23510.2, 'Total': 32571.26}",ConvNeXt_55
13.5,5.83,28,0.01,1.79e-07,0.0,196,"{'mac': 262.78, 'psum_spad': 2493.92, 'weights_spad': 4860.7, 'ifmap_spad': 968.77, 'shared_glb': 474.88, 'DRAM': 23510.2, 'Total': 32571.26}",ConvNeXt_56
112.0,46.67,44957696,19490.51,876000.0,0.0,2517630976,"{'mac': 262.78, 'psum_spad': 3517.29, 'weights_spad': 2661.59, 'ifmap_spad': 938.51, 'shared_glb': 114.57, 'DRAM': 246.86, 'Total': 7741.61}",ConvNeXt_57
13.5,5.83,28,0.01,1.79e-07,0.0,196,"{'mac': 262.78, 'psum_spad': 2493.92, 'weights_spad': 4860.7, 'ifmap_spad': 968.77, 'shared_glb': 474.88, 'DRAM': 23510.2, 'Total': 32571.26}",ConvNeXt_58
13.5,5.83,28,0.01,1.79e-07,0.0,196,"{'mac': 262.78, 'psum_spad': 2493.92, 'weights_spad': 4860.7, 'ifmap_spad': 968.77, 'shared_glb': 474.88, 'DRAM': 23510.2, 'Total': 32571.26}",ConvNeXt_59
112.0,46.67,44957696,19490.51,876000.0,0.0,2517630976,"{'mac': 262.78, 'psum_spad': 3517.29, 'weights_spad': 2661.59, 'ifmap_spad': 938.51, 'shared_glb': 114.57, 'DRAM': 246.86, 'Total': 7741.61}",ConvNeXt_60
13.5,5.83,28,0.01,1.79e-07,0.0,196,"{'mac': 262.78, 'psum_spad': 2493.92, 'weights_spad': 4860.7, 'ifmap_spad': 968.77, 'shared_glb': 474.88, 'DRAM': 23510.2, 'Total': 32571.26}",ConvNeXt_61
13.5,5.83,28,0.01,1.79e-07,0.0,196,"{'mac': 262.78, 'psum_spad': 2493.92, 'weights_spad': 4860.7, 'ifmap_spad': 968.77, 'shared_glb': 474.88, 'DRAM': 23510.2, 'Total': 32571.26}",ConvNeXt_62
112.0,46.67,44957696,19490.51,876000.0,0.0,2517630976,"{'mac': 262.78, 'psum_spad': 3517.29, 'weights_spad': 2661.59, 'ifmap_spad': 938.51, 'shared_glb': 114.57, 'DRAM': 246.86, 'Total': 7741.61}",ConvNeXt_63
13.5,5.83,28,0.01,1.79e-07,0.0,196,"{'mac': 262.78, 'psum_spad': 2493.92, 'weights_spad': 4860.7, 'ifmap_spad': 968.77, 'shared_glb': 474.88, 'DRAM': 23510.2, 'Total': 32571.26}",ConvNeXt_64
13.5,5.83,28,0.01,1.79e-07,0.0,196,"{'mac': 262.78, 'psum_spad': 2493.92, 'weights_spad': 4860.7, 'ifmap_spad': 968.77, 'shared_glb': 474.88, 'DRAM': 23510.2, 'Total': 32571.26}",ConvNeXt_65
112.0,46.67,44957696,19490.51,876000.0,0.0,2517630976,"{'mac': 262.78, 'psum_spad': 3517.29, 'weights_spad': 2661.59, 'ifmap_spad': 938.51, 'shared_glb': 114.57, 'DRAM': 246.86, 'Total': 7741.61}",ConvNeXt_66
13.5,5.83,28,0.01,1.79e-07,0.0,196,"{'mac': 262.78, 'psum_spad': 2493.92, 'weights_spad': 4860.7, 'ifmap_spad': 968.77, 'shared_glb': 474.88, 'DRAM': 23510.2, 'Total': 32571.26}",ConvNeXt_67
13.5,5.83,28,0.01,1.79e-07,0.0,196,"{'mac': 262.78, 'psum_spad': 2493.92, 'weights_spad': 4860.7, 'ifmap_spad': 968.77, 'shared_glb': 474.88, 'DRAM': 23510.2, 'Total': 32571.26}",ConvNeXt_68
112.0,46.67,44957696,19490.51,876000.0,0.0,2517630976,"{'mac': 262.78, 'psum_spad': 3517.29, 'weights_spad': 2661.59, 'ifmap_spad': 938.51, 'shared_glb': 114.57, 'DRAM': 246.86, 'Total': 7741.61}",ConvNeXt_69
13.5,5.83,28,0.01,1.79e-07,0.0,196,"{'mac': 262.78, 'psum_spad': 2493.92, 'weights_spad': 4860.7, 'ifmap_spad': 968.77, 'shared_glb': 474.88, 'DRAM': 23510.2, 'Total': 32571.26}",ConvNeXt_70
13.5,5.83,28,0.01,1.79e-07,0.0,196,"{'mac': 262.78, 'psum_spad': 2493.92, 'weights_spad': 4860.7, 'ifmap_spad': 968.77, 'shared_glb': 474.88, 'DRAM': 23510.2, 'Total': 32571.26}",ConvNeXt_71
112.0,46.67,44957696,19490.51,876000.0,0.0,2517630976,"{'mac': 262.78, 'psum_spad': 3517.29, 'weights_spad': 2661.59, 'ifmap_spad': 938.51, 'shared_glb': 114.57, 'DRAM': 246.86, 'Total': 7741.61}",ConvNeXt_72
13.5,5.83,28,0.01,1.79e-07,0.0,196,"{'mac': 262.78, 'psum_spad': 2493.92, 'weights_spad': 4860.7, 'ifmap_spad': 968.77, 'shared_glb': 474.88, 'DRAM': 23510.2, 'Total': 32571.26}",ConvNeXt_73
13.5,5.83,28,0.01,1.79e-07,0.0,196,"{'mac': 262.78, 'psum_spad': 2493.92, 'weights_spad': 4860.7, 'ifmap_spad': 968.77, 'shared_glb': 474.88, 'DRAM': 23510.2, 'Total': 32571.26}",ConvNeXt_74
112.0,46.67,44957696,19490.51,876000.0,0.0,2517630976,"{'mac': 262.78, 'psum_spad': 3517.29, 'weights_spad': 2661.59, 'ifmap_spad': 938.51, 'shared_glb': 114.57, 'DRAM': 246.86, 'Total': 7741.61}",ConvNeXt_75
13.5,5.83,28,0.01,1.79e-07,0.0,196,"{'mac': 262.78, 'psum_spad': 2493.92, 'weights_spad': 4860.7, 'ifmap_spad': 968.77, 'shared_glb': 474.88, 'DRAM': 23510.2, 'Total': 32571.26}",ConvNeXt_76
13.5,5.83,28,0.01,1.79e-07,0.0,196,"{'mac': 262.78, 'psum_spad': 2493.92, 'weights_spad': 4860.7, 'ifmap_spad': 968.77, 'shared_glb': 474.88, 'DRAM': 23510.2, 'Total': 32571.26}",ConvNeXt_77
112.0,46.67,44957696,19490.51,876000.0,0.0,2517630976,"{'mac': 262.78, 'psum_spad': 3517.29, 'weights_spad': 2661.59, 'ifmap_spad': 938.51, 'shared_glb': 114.57, 'DRAM': 246.86, 'Total': 7741.61}",ConvNeXt_78
13.5,5.83,28,0.01,1.79e-07,0.0,196,"{'mac': 262.78, 'psum_spad': 2493.92, 'weights_spad': 4860.7, 'ifmap_spad': 968.77, 'shared_glb': 474.88, 'DRAM': 23510.2, 'Total': 32571.26}",ConvNeXt_79
13.5,5.83,28,0.01,1.79e-07,0.0,196,"{'mac': 262.78, 'psum_spad': 2493.92, 'weights_spad': 4860.7, 'ifmap_spad': 968.77, 'shared_glb': 474.88, 'DRAM': 23510.2, 'Total': 32571.26}",ConvNeXt_80
112.0,46.67,44957696,19490.51,876000.0,0.0,2517630976,"{'mac': 262.78, 'psum_spad': 3517.29, 'weights_spad': 2661.59, 'ifmap_spad': 938.51, 'shared_glb': 114.57, 'DRAM': 246.86, 'Total': 7741.61}",ConvNeXt_81
13.5,5.83,28,0.01,1.79e-07,0.0,196,"{'mac': 262.78, 'psum_spad': 2493.92, 'weights_spad': 4860.7, 'ifmap_spad': 968.77, 'shared_glb': 474.88, 'DRAM': 23510.2, 'Total': 32571.26}",ConvNeXt_82
13.5,5.83,28,0.01,1.79e-07,0.0,196,"{'mac': 262.78, 'psum_spad': 2493.92, 'weights_spad': 4860.7, 'ifmap_spad': 968.77, 'shared_glb': 474.88, 'DRAM': 23510.2, 'Total': 32571.26}",ConvNeXt_83
112.0,46.67,44957696,19490.51,876000.0,0.0,2517630976,"{'mac': 262.78, 'psum_spad': 3517.29, 'weights_spad': 2661.59, 'ifmap_spad': 938.51, 'shared_glb': 114.57, 'DRAM': 246.86, 'Total': 7741.61}",ConvNeXt_84
13.5,5.83,28,0.01,1.79e-07,0.0,196,"{'mac': 262.78, 'psum_spad': 2493.92, 'weights_spad': 4860.7, 'ifmap_spad': 968.77, 'shared_glb': 474.88, 'DRAM': 23510.2, 'Total': 32571.26}",ConvNeXt_85
13.5,5.83,28,0.01,1.79e-07,0.0,196,"{'mac': 262.78, 'psum_spad': 2493.92, 'weights_spad': 4860.7, 'ifmap_spad': 968.77, 'shared_glb': 474.88, 'DRAM': 23510.2, 'Total': 32571.26}",ConvNeXt_86
112.0,46.67,44957696,19490.51,876000.0,0.0,2517630976,"{'mac': 262.78, 'psum_spad': 3517.29, 'weights_spad': 2661.59, 'ifmap_spad': 938.51, 'shared_glb': 114.57, 'DRAM': 246.86, 'Total': 7741.61}",ConvNeXt_87
13.5,5.83,28,0.01,1.79e-07,0.0,196,"{'mac': 262.78, 'psum_spad': 2493.92, 'weights_spad': 4860.7, 'ifmap_spad': 968.77, 'shared_glb': 474.88, 'DRAM': 23510.2, 'Total': 32571.26}",ConvNeXt_88
13.5,5.83,28,0.01,1.79e-07,0.0,196,"{'mac': 262.78, 'psum_spad': 2493.92, 'weights_spad': 4860.7, 'ifmap_spad': 968.77, 'shared_glb': 474.88, 'DRAM': 23510.2, 'Total': 32571.26}",ConvNeXt_89
112.0,46.67,44957696,19490.51,876000.0,0.0,2517630976,"{'mac': 262.78, 'psum_spad': 3517.29, 'weights_spad': 2661.59, 'ifmap_spad': 938.51, 'shared_glb': 114.57, 'DRAM': 246.86, 'Total': 7741.61}",ConvNeXt_90
13.5,5.83,28,0.01,1.79e-07,0.0,196,"{'mac': 262.78, 'psum_spad': 2493.92, 'weights_spad': 4860.7, 'ifmap_spad': 968.77, 'shared_glb': 474.88, 'DRAM': 23510.2, 'Total': 32571.26}",ConvNeXt_91
13.5,5.83,28,0.01,1.79e-07,0.0,196,"{'mac': 262.78, 'psum_spad': 2493.92, 'weights_spad': 4860.7, 'ifmap_spad': 968.77, 'shared_glb': 474.88, 'DRAM': 23510.2, 'Total': 32571.26}",ConvNeXt_92
112.0,46.67,44957696,19490.51,876000.0,0.0,2517630976,"{'mac': 262.78, 'psum_spad': 3517.29, 'weights_spad': 2661.59, 'ifmap_spad': 938.51, 'shared_glb': 114.57, 'DRAM': 246.86, 'Total': 7741.61}",ConvNeXt_93
13.5,5.83,28,0.01,1.79e-07,0.0,196,"{'mac': 262.78, 'psum_spad': 2493.92, 'weights_spad': 4860.7, 'ifmap_spad': 968.77, 'shared_glb': 474.88, 'DRAM': 23510.2, 'Total': 32571.26}",ConvNeXt_94
13.5,5.83,28,0.01,1.79e-07,0.0,196,"{'mac': 262.78, 'psum_spad': 2493.92, 'weights_spad': 4860.7, 'ifmap_spad': 968.77, 'shared_glb': 474.88, 'DRAM': 23510.2, 'Total': 32571.26}",ConvNeXt_95
112.0,46.67,44957696,19490.51,876000.0,0.0,2517630976,"{'mac': 262.78, 'psum_spad': 3517.29, 'weights_spad': 2661.59, 'ifmap_spad': 938.51, 'shared_glb': 114.57, 'DRAM': 246.86, 'Total': 7741.61}",ConvNeXt_96
13.5,5.83,28,0.01,1.79e-07,0.0,196,"{'mac': 262.78, 'psum_spad': 2493.92, 'weights_spad': 4860.7, 'ifmap_spad': 968.77, 'shared_glb': 474.88, 'DRAM': 23510.2, 'Total': 32571.26}",ConvNeXt_97
13.5,5.83,28,0.01,1.79e-07,0.0,196,"{'mac': 262.78, 'psum_spad': 2493.92, 'weights_spad': 4860.7, 'ifmap_spad': 968.77, 'shared_glb': 474.88, 'DRAM': 23510.2, 'Total': 32571.26}",ConvNeXt_98
112.0,46.67,44957696,19490.51,876000.0,0.0,2517630976,"{'mac': 262.78, 'psum_spad': 3517.29, 'weights_spad': 2661.59, 'ifmap_spad': 938.51, 'shared_glb': 114.57, 'DRAM': 246.86, 'Total': 7741.61}",ConvNeXt_99
